category_id,category_name,igdb_id
1876658629,What would Google say?,108370
313566,SUPERHOT,7205
867611082,eFOURgames,362884
502926,Musynx,75992
500093312,Coin Pusher Casino,230196
1395476367,Wangan Midnight,268764
7228,Tom Clancy's Rainbow Six,1842
23863,Thief,4
3431,Def Jam: Fight for NY,3875
512746,War by Grow Games,125982
504713,PUSS!,81128
772384672,Shoyu Ramen Forever,383716
369844276,Subliminal,233669
10945,Dino Crisis,3027
753328988,Beach Buggy Racing 2,110044
1034536158,Hazelnut Hex,218725
516131,Shattered Pixel Dungeon,130394
490646,Katana ZERO,20150
518884,Bomb Rush Cyberfunk,135940
1003069755,Mind the Clown,349094
516184,Evan's Remains,120407
757757181,The Crust,176109
15265,Fuzion Frenzy,5842
143231487,Stick War: Saga,233777
280908832,Gotchi Guardians,354980
515882,beatoraja,130770
8510,Point Blank,13899
660784574,ANEURISM IV,297064
689123933,Furry Feet,163576
943482888,Helskate,252497
12562,WarioWare: Smooth Moves,1706
489812,NBA 2K16,11525
1932817629,Beat Craft,320151
1267183774,171,136712
19054,Castle of Shikigami III,4751
509699,Them and Us,107688
196631252,Fuel Me Up,342719
490354,Gears of War: Ultimate Edition,16605
662037961,United Heist,215677
1022213012,"El Paso, Elsewhere",151788
749304982,Garten of Banban II,231437
5887,Mario Party,2327
7586,Mortal Kombat Trilogy,4121
1986927163,CARIMARA: Beneath the forlorn limbs,339618
1850902624,Arc,182772
295626266,Heroes of Might & Magic III: HD Edition,20052
487085252,PIGFACE,343054
25622,Nontan to Issho: Kuru-kuru Puzzle,44400
